Hour,Station,HOV Flow,Ordinary Flow,Toll,Total Demand,StationLength,HOV Travel Time,Ordinary Travel Time
8,403752.2272727273,1093.6818181818182,3992.9545454545455,0.9791666666666666,5197.763545694208,7.16,6.700181287262147,10.567106096674102
9,403752.2272727273,963.9545454545455,3671.3636363636365,0.8333333333333334,4719.231265490864,7.16,6.60479523237013,10.49427685211234
10,403752.2272727273,1074.5,3948.181818181818,1.0416666666666667,5140.746902124339,7.16,6.894581213151054,10.932974039937257
11,403752.2272727273,1069.409090909091,3960.2272727272725,1.0208333333333333,5145.064113923292,7.16,6.62012483156187,10.388430858192825
12,403752.2272727273,1181.0,3795.7727272727275,2.8958333333333335,5422.265971999451,7.16,8.018848431102045,14.97586586792604
13,403752.2272727273,1202.5,3704.681818181818,3.6666666666666665,5536.51622469667,7.16,9.277576466243728,18.50969942632118
14,403752.2272727273,1239.8181818181818,3667.090909090909,4.916666666666667,5936.127638189198,7.16,10.40803656694476,23.388455414080912
15,403752.2272727273,1306.0,3895.2727272727275,5.0,6325.596482790854,7.16,10.465784401052447,22.639531903110026
16,403752.2272727273,1303.4545454545455,3929.1363636363635,5.0,6363.6845030013155,7.16,10.056431653667145,19.955047493825607
17,403752.2272727273,1325.3181818181818,4037.4545454545455,5.0,6522.00683955105,7.16,9.459462187802993,18.27762101733759
